_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
80,0.282171,0.284711,0.264857,0.270842,0.254002,0.233137,0.246603,0.245608,0.254437,0.236425,0.859685,0.8565,0.859477,0.852865,0.86076,0.020225,0.020167,0.020278,0.019969,0.020437,0.018526,0.018725,0.019049,0.018912,0.019555
81,0.262459,0.300059,0.287321,0.296816,0.255424,0.237114,0.25347,0.255991,0.259977,0.248116,0.862169,0.856143,0.862814,0.860518,0.855109,0.020367,0.020103,0.020277,0.020055,0.020417,0.01891,0.018925,0.019317,0.018692,0.019761
82,0.287853,0.287583,0.275955,0.301762,0.284123,0.235027,0.248516,0.240751,0.248768,0.237911,0.856583,0.862946,0.857885,0.86049,0.8585,0.020362,0.02033,0.020501,0.020253,0.020557,0.019245,0.019341,0.019654,0.019093,0.019726
83,0.28282,0.272004,0.249718,0.292282,0.276232,0.241606,0.235695,0.239551,0.23627,0.238405,0.868544,0.865207,0.865342,0.861759,0.864347,0.020602,0.020497,0.020841,0.02064,0.020817,0.019387,0.019599,0.020057,0.019862,0.020055
84,0.252511,0.284224,0.273666,0.28687,0.258353,0.221529,0.231194,0.222451,0.227237,0.224297,0.856213,0.858516,0.856187,0.854756,0.86005,0.02056,0.020505,0.02068,0.020498,0.020676,0.019334,0.019209,0.019704,0.019342,0.019982
85,0.283192,0.279484,0.26491,0.269081,0.265416,0.235743,0.220863,0.233035,0.220454,0.237484,0.854934,0.865418,0.864482,0.865241,0.859061,0.020468,0.020898,0.02065,0.020848,0.020669,0.018869,0.019638,0.019978,0.020031,0.019981
86,0.282687,0.275088,0.265298,0.279928,0.280312,0.247535,0.259773,0.250447,0.259403,0.254935,0.864358,0.859306,0.863986,0.862202,0.862124,0.020269,0.019889,0.020087,0.019878,0.020017,0.01889,0.018685,0.019201,0.018673,0.019047
87,0.277687,0.298801,0.287001,0.279768,0.267084,0.220028,0.248824,0.234545,0.237032,0.242769,0.856379,0.86049,0.853726,0.859907,0.855726,0.020575,0.020332,0.020574,0.020555,0.020467,0.019048,0.019366,0.019656,0.019833,0.019736
88,0.260952,0.274305,0.231449,0.249786,0.245384,0.21506,0.218137,0.218954,0.232632,0.228475,0.85639,0.857974,0.862388,0.859837,0.861041,0.020872,0.020942,0.020978,0.020695,0.020841,0.019687,0.020088,0.020026,0.019715,0.019852
89,0.296528,0.307895,0.279108,0.302949,0.276888,0.238868,0.260892,0.243239,0.246131,0.254612,0.861248,0.852815,0.854311,0.850606,0.854847,0.020464,0.02014,0.020904,0.020318,0.020401,0.019256,0.018898,0.020393,0.019363,0.019781
90,0.271053,0.267581,0.273443,0.282548,0.252214,0.224,0.231778,0.225631,0.228373,0.229184,0.860091,0.864901,0.86445,0.860544,0.862933,0.020562,0.020633,0.020808,0.02058,0.020735,0.019216,0.019576,0.02008,0.019472,0.019741
91,0.251557,0.287835,0.288213,0.289577,0.284812,0.211411,0.248437,0.237632,0.245658,0.230001,0.857359,0.86237,0.865364,0.862967,0.866341,0.021035,0.020349,0.02088,0.02048,0.020906,0.019607,0.019386,0.019877,0.01933,0.020198
92,0.256004,0.244919,0.257516,0.24001,0.264029,0.202318,0.219128,0.211721,0.222196,0.221111,0.854356,0.852571,0.85569,0.856953,0.8544,0.021042,0.020635,0.021029,0.020626,0.020771,0.019726,0.019637,0.020434,0.019637,0.01982
93,0.248358,0.277369,0.270396,0.266001,0.265224,0.23078,0.245979,0.237675,0.239569,0.240795,0.86145,0.854731,0.857002,0.847605,0.859629,0.020266,0.020098,0.020337,0.02033,0.02025,0.018856,0.019071,0.019342,0.019247,0.019115
94,0.276917,0.301685,0.295612,0.297163,0.306228,0.257422,0.26587,0.277423,0.264279,0.267564,0.867662,0.864396,0.867792,0.859533,0.863665,0.019763,0.019949,0.019965,0.019945,0.02003,0.018069,0.018551,0.019127,0.019009,0.019313
95,0.276282,0.275175,0.299533,0.272586,0.292516,0.245104,0.254526,0.266197,0.260533,0.265213,0.859861,0.860041,0.861797,0.864248,0.863099,0.02022,0.020115,0.020017,0.02022,0.020087,0.018738,0.018915,0.019038,0.019368,0.019056
96,0.282666,0.314336,0.293301,0.296266,0.293696,0.237769,0.259124,0.259865,0.259734,0.25064,0.852427,0.860266,0.854287,0.857492,0.852817,0.020312,0.02001,0.019877,0.020013,0.020087,0.018854,0.019252,0.018661,0.019199,0.019034
97,0.284136,0.252529,0.272731,0.240383,0.280215,0.25037,0.225033,0.225687,0.217907,0.223464,0.86101,0.851352,0.852605,0.855357,0.854621,0.02009,0.020503,0.020454,0.020688,0.020542,0.018713,0.019422,0.019382,0.019612,0.019516
98,0.26129,0.266943,0.269237,0.281015,0.271656,0.225324,0.240119,0.238501,0.239853,0.236799,0.863611,0.863786,0.867342,0.864591,0.866474,0.020405,0.020378,0.020565,0.020478,0.020461,0.018767,0.019361,0.019665,0.019623,0.019437
99,0.281174,0.285746,0.29572,0.296097,0.289839,0.243785,0.257435,0.263672,0.259246,0.256604,0.852679,0.861031,0.858532,0.860392,0.861384,0.020051,0.01999,0.019869,0.01997,0.020059,0.018664,0.018684,0.018771,0.018758,0.019348
100,0.281873,0.268981,0.259922,0.263213,0.283737,0.243852,0.233948,0.228955,0.224714,0.240146,0.870984,0.866467,0.864713,0.862876,0.86386,0.020269,0.020589,0.020909,0.020986,0.020654,0.018795,0.019763,0.02019,0.020219,0.020067
