,,,,AUPRC,AUPRC,AUPRC,AUROC,AUROC,AUROC,Brier,Brier,Brier,ECE,ECE,ECE,f1,f1,f1
Set,,,,F,O,OF,F,O,OF,F,O,OF,F,O,OF,F,O,OF
DAG,k,Model,Feature,,,,,,,,,,,,,,,
GES,8,LightGBM,m+mw,0.39684577675448884,,0.4895948369969143,0.8932681461476365,,0.9133230129373431,0.019843690749546564,,0.016969957694661617,0.01670565114595382,,0.014024934867596622,0.418927488742601,,0.48994690802501745
GES,8,LightGBM,mw,0.400731917841188,,0.4866868023102743,0.899796348850335,,0.9148259224171047,0.01969209583156273,,0.016845349567806298,0.01574375980050516,,0.01463137847259004,0.4250140741444426,,0.5177333739837764
GES,8,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
GES,8,Logit,m,0.04774427800602655,,0.12941229956628236,0.7249166666373122,,0.8482460002542253,0.22142699176979055,,0.17060782259943397,0.4219834723462149,,0.33222669719718173,0.076888278514607,,0.11833685460969441
GES,8,Logit,m+mw,0.04753549172173838,,0.12952631782695867,0.723953254153294,,0.8480653645152156,0.22131100952436897,,0.17038750636293715,0.41930204965757456,,0.3316968709387056,0.07750758728621063,,0.11853077666895014
GES,8,Logit,mw,0.04841336428963987,,0.12882913314069136,0.7260141586593921,,0.8476683083454164,0.22245940782769016,,0.17126864042671455,0.42865100470177675,,0.33328232372304745,0.07797011509792842,,0.1184103803097426
GES,8,Logit,original,,0.13023074092708337,,,0.8490084611597067,,,0.17198350331315498,,,0.33457415393638723,,,0.116419832827323,
GES,8,RandomForest,m,0.40799271383980307,,0.4739812463285459,0.9036058460971841,,0.9126717746202413,0.01650704126197506,,0.015434342456831332,0.005676302203498137,,0.0050913075087253325,0.26013528673495856,,0.3501446268464316
GES,8,RandomForest,m+mw,0.40759611585593075,,0.46968667382403134,0.9035427673912085,,0.9141493071438344,0.016530936004485526,,0.015488754975799785,0.00669206485569907,,0.005442976154301142,0.2698456801652888,,0.34597548389985366
GES,8,RandomForest,mw,0.40937012678688445,,0.47843737161156286,0.9043594671028854,,0.9144956749138753,0.016536452423374325,,0.0154182388339739,0.006094845942079549,,0.005448528588828322,0.26087757491616353,,0.35035335105889104
GES,8,RandomForest,original,,0.4542154632477241,,,0.9112259482556265,,,0.0158712891856445,,,0.005424093281337729,,,0.31424779427767824,
GES,8,XGBoost,m,0.4338340499361868,,0.5285371210310195,0.9161410496570627,,0.9271600367475976,0.016200584192140786,,0.014388461086157295,0.009131348606458312,,0.008891422059517647,0.36660384310160954,,0.47443411238693767
GES,8,XGBoost,m+mw,0.43747166759907696,,0.5230683361396564,0.9164557822322221,,0.9263531694475955,0.016119045888147335,,0.014595056427310207,0.009691874143826992,,0.009614065391643795,0.385634743705796,,0.47843762150488284
GES,8,XGBoost,mw,0.4350969147045166,,0.5284492677051051,0.916951787011208,,0.9284434516641674,0.016212224755100535,,0.014423687612197455,0.009296580204283958,,0.00964408568840489,0.3678249379389669,,0.4778043120678374
GES,8,XGBoost,original,,0.4926046867005952,,,0.9227263926424693,,,0.014998535010819675,,,0.00871156269105181,,,0.4448072841647158,
GES,9,LightGBM,m,0.395507003056236,,0.49811754575592976,0.9029924670158792,,0.9182377873944245,0.019565962826275873,,0.01686330133685286,0.015325624682153854,,0.014342750648894249,0.4290193884899767,,0.5010179645215207
GES,9,LightGBM,m+mw,0.4032249602841305,,0.49611499862512376,0.9005939838774939,,0.9153279148088309,0.0196819295183303,,0.016761560847264694,0.016479011232076936,,0.014171514169920935,0.43128352067786374,,0.506966739898078
GES,9,LightGBM,mw,0.39560634478097045,,0.4926868509155547,0.9019001191307815,,0.9155562429711053,0.01968954701936975,,0.016809939598368472,0.01670818169575797,,0.014251239092177672,0.4312677269901264,,0.5070897552153073
GES,9,LightGBM,original,,0.44554695977400216,,,0.9079043799078557,,,0.018054409706908907,,,0.01475990032229794,,,0.46713795743990616,
