dag,k,model,set,feature,f1,AUPRC,AUROC,Brier,ECE,seconds
NOTEARS,2,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.639
NOTEARS,2,Logit,F,m,0.05903544488443461,0.04149733779716654,0.6504378499266996,0.2366023972301749,0.4472370382318215,0.198
NOTEARS,2,Logit,OF,m,0.11605755834592535,0.1343657496981517,0.8507492571802457,0.17177641886479314,0.3339024477566945,0.622
NOTEARS,2,Logit,F,mw,0.05901864925749804,0.04110539569201649,0.6503186126936451,0.23654602771607608,0.44775520976006333,0.149
NOTEARS,2,Logit,OF,mw,0.11584031268369058,0.13552644736165761,0.850538188274793,0.17177013469504976,0.3339696905251134,0.753
NOTEARS,2,Logit,F,m+mw,0.059176619866672484,0.04173461362893116,0.6504866853866789,0.2368391151096781,0.4457951838087021,0.208
NOTEARS,2,Logit,OF,m+mw,0.1155363798164156,0.13839642658745893,0.8516838683051283,0.17177647874512475,0.33383219570229944,0.595
NOTEARS,2,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,26.582
NOTEARS,2,RandomForest,F,m,0.0047619047619047615,0.04159714657307904,0.636001526337193,0.02384721288838046,0.021279017044879032,24.044
NOTEARS,2,RandomForest,OF,m,0.30397550143929597,0.47811914805186256,0.9172496171838682,0.015550298581594207,0.00539578339166895,27.934
NOTEARS,2,RandomForest,F,mw,0.0047619047619047615,0.03970989106675708,0.6356293706608218,0.02384950297317031,0.021431804618204965,21.868
NOTEARS,2,RandomForest,OF,mw,0.30919865416522335,0.4770308312322764,0.9175398897168655,0.015546080494161438,0.005514890744207393,26.95
NOTEARS,2,RandomForest,F,m+mw,0.009109730848861283,0.04034168990092075,0.6254078503971238,0.024203884755936104,0.022848557256437866,30.883
NOTEARS,2,RandomForest,OF,m+mw,0.33877132235279844,0.47898503381496943,0.9191683216534123,0.015463123441960751,0.00536518845592566,37.993
NOTEARS,2,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,42.037
NOTEARS,2,XGBoost,F,m,0.0,0.06244317491749059,0.6677564919033876,0.021641731111343133,0.0038186124500391647,14.867
NOTEARS,2,XGBoost,OF,m,0.47348231068151597,0.5189822811956711,0.9268155099449625,0.014636980448119608,0.009307083111719829,8.13
NOTEARS,2,XGBoost,F,mw,0.0,0.06180044647631957,0.6691271532408842,0.021609705659714158,0.0035214558341080124,5.518
NOTEARS,2,XGBoost,OF,mw,0.46124269810031765,0.5163366251973904,0.926863907018963,0.014646414181011248,0.008981499469924742,8.652
NOTEARS,2,XGBoost,F,m+mw,0.0047619047619047615,0.06977355662532475,0.6821367543592943,0.021798669027093424,0.006796568696701702,5.781
NOTEARS,2,XGBoost,OF,m+mw,0.4753135605358591,0.5226835941541388,0.9282488740433129,0.014610919892220912,0.009357057943243926,8.239
NOTEARS,2,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,32.271
NOTEARS,2,LightGBM,F,m,0.08258933130969459,0.056730051918705705,0.627547509954641,0.06504957260339314,0.0932537971491311,22.899
NOTEARS,2,LightGBM,OF,m,0.49094464957840334,0.48482178116101143,0.9175137815862255,0.017096028908936946,0.0134218725913488,24.424
NOTEARS,2,LightGBM,F,mw,0.07721059166294639,0.05502998541017656,0.649491175240765,0.06509942445015085,0.09308385896138313,24.277
NOTEARS,2,LightGBM,OF,mw,0.502958287244226,0.47841015345729954,0.9154088050314465,0.016904682727335897,0.013859794656151548,23.757
NOTEARS,2,LightGBM,F,m+mw,0.07976241164636658,0.05401681434668963,0.6378610626114647,0.06267418058853394,0.09079130980578538,24.396
NOTEARS,2,LightGBM,OF,m+mw,0.5002146867309529,0.48256604941705794,0.9158630035177897,0.0170615660518387,0.01409110041292431,30.884
NOTEARS,3,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.596
NOTEARS,3,Logit,F,m,0.058333868538378554,0.040971086734971136,0.6482609438736118,0.23665405164893877,0.4471532478446162,0.233
NOTEARS,3,Logit,OF,m,0.11682356475990763,0.13383640259380106,0.8490937229971598,0.1711924789165312,0.33295915813226723,0.53
NOTEARS,3,Logit,F,mw,0.05863014979290422,0.042544689752709274,0.6496971938382607,0.23654540507418495,0.4476442649487907,0.239
NOTEARS,3,Logit,OF,mw,0.11631395145534731,0.13368224282886798,0.8496353455191048,0.1715532933237547,0.3336864486736749,0.612
NOTEARS,3,Logit,F,m+mw,0.058497429091696584,0.038562868339500476,0.6445446550592593,0.236915458258868,0.4459286541758793,0.264
NOTEARS,3,Logit,OF,m+mw,0.11649320519840478,0.13644359741301446,0.8492074652460646,0.17112726040122267,0.3325226952320479,0.71
NOTEARS,3,RandomForest,O,original,0.31424779427767824,0.4542154632477241,0.9112259482556265,0.0158712891856445,0.005424093281337729,18.357
NOTEARS,3,RandomForest,F,m,0.0,0.07215255693639619,0.7064838608772241,0.022169068921880607,0.011787757383238107,16.622
NOTEARS,3,RandomForest,OF,m,0.32810438524550456,0.47521078699927555,0.9165857316157929,0.015509713404209854,0.005502075275452899,30.795
NOTEARS,3,RandomForest,F,mw,0.0,0.07113069864738703,0.7064675869614533,0.022134541127742182,0.01226053769118513,23.685
NOTEARS,3,RandomForest,OF,mw,0.32756424751208957,0.4738615702619143,0.9180634857436241,0.015497307588014564,0.005397906967510877,34.824
NOTEARS,3,RandomForest,F,m+mw,0.0,0.06769536910346803,0.7031556406176998,0.022551523045498963,0.014454196303410225,31.151
NOTEARS,3,RandomForest,OF,m+mw,0.31044639321903306,0.4708533318088864,0.920613336161078,0.015654033659861157,0.005653742404802903,36.203
NOTEARS,3,XGBoost,O,original,0.4448072841647158,0.4926046867005952,0.9227263926424693,0.014998535010819675,0.00871156269105181,25.61
NOTEARS,3,XGBoost,F,m,0.014401858304297327,0.10563173147246634,0.7612124301559801,0.02134762375045084,0.007454955203916787,21.583
NOTEARS,3,XGBoost,OF,m,0.47720957511666146,0.5224700987062161,0.9287151720078299,0.014642886820113565,0.009290544444531488,32.223
NOTEARS,3,XGBoost,F,mw,0.014634146341463417,0.10851283590700844,0.7604455125500337,0.021346618450048226,0.007855160264265644,9.748
NOTEARS,3,XGBoost,OF,mw,0.47332826990187915,0.5256493360797702,0.9287364678417257,0.014604511044389456,0.008969611531222518,6.799
NOTEARS,3,XGBoost,F,m+mw,0.0047619047619047615,0.0979932602203783,0.7549452057679116,0.021516472632603183,0.007874281062181684,5.47
NOTEARS,3,XGBoost,OF,m+mw,0.4859492341864232,0.5280094804119034,0.9278002504478046,0.014465347772438807,0.00923235297891222,8.405
NOTEARS,3,LightGBM,O,original,0.46713795743990616,0.44554695977400216,0.9079043799078557,0.018054409706908907,0.01475990032229794,34.403
NOTEARS,3,LightGBM,F,m,0.11172467569593718,0.06986168195541614,0.6729902021824057,0.04978548428398218,0.06424465433520476,23.347
NOTEARS,3,LightGBM,OF,m,0.4885134516158775,0.4786520887931657,0.9157135484742508,0.01703769342027201,0.014495679862476232,24.394
NOTEARS,3,LightGBM,F,mw,0.11042676728354776,0.064713313229008,0.6808980814201605,0.050168964168364825,0.06472362676133422,24.438
NOTEARS,3,LightGBM,OF,mw,0.48782338692769744,0.48401622441984643,0.9166463387289614,0.01702939806925175,0.013584536714857584,25.466
NOTEARS,3,LightGBM,F,m+mw,0.1366333953887871,0.0864837590713875,0.719682640117787,0.04343680829351974,0.05179543215558433,26.795
NOTEARS,3,LightGBM,OF,m+mw,0.5095845798778069,0.48420691865849347,0.9132902496450056,0.01693855549763311,0.013478110945561362,26.563
NOTEARS,4,Logit,O,original,0.116419832827323,0.13023074092708337,0.8490084611597067,0.17198350331315498,0.33457415393638723,0.554
NOTEARS,4,Logit,F,m,0.07507686694370516,0.06251828039622524,0.739489411087356,0.2189231105514462,0.4231779412254325,0.322
