_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
66,0.415745,0.312274,0.430797,0.323714,0.446521,0.389198,0.300545,0.419257,0.302858,0.419592,0.896932,0.882934,0.904762,0.88192,0.905608,0.017109,0.01896,0.016911,0.019099,0.016872,0.013289,0.014119,0.014096,0.014131,0.014245
67,0.440257,0.337787,0.478529,0.373968,0.469864,0.400349,0.324204,0.434387,0.325354,0.435736,0.904468,0.881957,0.911,0.880736,0.910185,0.016852,0.018559,0.01637,0.018437,0.016462,0.012634,0.013662,0.013111,0.013617,0.013197
68,0.416337,0.34607,0.442435,0.35423,0.446582,0.383889,0.316911,0.421423,0.3231,0.420319,0.898644,0.879629,0.907567,0.880482,0.907768,0.017244,0.018397,0.016716,0.018402,0.016712,0.013134,0.012958,0.013483,0.013379,0.014018
69,0.406782,0.352409,0.446384,0.347436,0.455862,0.390873,0.313301,0.422478,0.316599,0.425716,0.902737,0.889262,0.910443,0.890841,0.912241,0.017249,0.018568,0.016602,0.018543,0.016576,0.013348,0.013465,0.013207,0.01317,0.013569
70,0.421782,0.331923,0.444776,0.329431,0.449304,0.403175,0.314202,0.442106,0.318097,0.441081,0.907448,0.886707,0.917214,0.885655,0.916777,0.016901,0.018601,0.016315,0.018447,0.016366,0.013278,0.013985,0.012625,0.013773,0.012907
71,0.431647,0.317608,0.431778,0.31983,0.439439,0.398329,0.292931,0.428106,0.291863,0.43067,0.90116,0.879704,0.914616,0.880424,0.915436,0.016884,0.019194,0.016764,0.019249,0.016719,0.01278,0.015367,0.014223,0.014574,0.013894
72,0.419094,0.309481,0.422504,0.313162,0.44656,0.396917,0.290323,0.425105,0.281361,0.422087,0.898038,0.880595,0.912184,0.878394,0.912471,0.017179,0.019051,0.016733,0.019164,0.016841,0.013137,0.013775,0.013638,0.014345,0.013681
73,0.417985,0.309704,0.430983,0.326164,0.445389,0.392199,0.299612,0.423626,0.297359,0.424735,0.897886,0.88433,0.909692,0.883065,0.909172,0.017067,0.019004,0.016747,0.018992,0.016635,0.012875,0.013893,0.013827,0.014319,0.01342
74,0.42599,0.323996,0.443373,0.319948,0.449765,0.393595,0.292645,0.420792,0.291819,0.41831,0.902416,0.881516,0.912199,0.880518,0.90965,0.017241,0.01917,0.016839,0.019177,0.016882,0.012993,0.014425,0.013733,0.013807,0.013944
75,0.400278,0.333627,0.442787,0.315552,0.438005,0.387723,0.293878,0.415614,0.293578,0.412377,0.900569,0.88836,0.913681,0.89111,0.914225,0.01738,0.018981,0.017053,0.019027,0.016979,0.013008,0.01407,0.014083,0.014298,0.014362
76,0.417513,0.335493,0.444421,0.339368,0.461648,0.406741,0.303266,0.431126,0.30765,0.430541,0.899383,0.884655,0.911981,0.885647,0.910834,0.016867,0.018955,0.016637,0.018898,0.016665,0.01282,0.013955,0.013381,0.013214,0.013584
77,0.404034,0.363282,0.443893,0.357371,0.422454,0.390449,0.298621,0.420194,0.296439,0.421585,0.90511,0.886741,0.915565,0.886734,0.912632,0.017159,0.018834,0.016785,0.018864,0.016811,0.013056,0.013208,0.013632,0.013253,0.013884
78,0.43552,0.334147,0.455131,0.329251,0.461769,0.400851,0.318139,0.442523,0.31823,0.438027,0.901771,0.883474,0.915516,0.884053,0.913671,0.017034,0.018733,0.016459,0.018779,0.01647,0.012961,0.014105,0.013108,0.014218,0.013148
79,0.42728,0.324489,0.438395,0.326776,0.441357,0.385405,0.301326,0.41014,0.305032,0.415638,0.898401,0.88494,0.91223,0.883298,0.913272,0.017238,0.019074,0.017101,0.018949,0.016956,0.013285,0.014407,0.014135,0.013941,0.013808
80,0.414735,0.344541,0.436949,0.33806,0.414112,0.389004,0.31222,0.422481,0.309598,0.424062,0.901247,0.893634,0.915525,0.893157,0.916049,0.017208,0.01878,0.016901,0.018837,0.016829,0.012865,0.013489,0.013473,0.013621,0.013937
81,0.429469,0.303695,0.455496,0.330346,0.454522,0.396362,0.294345,0.425935,0.297495,0.428001,0.905146,0.88409,0.914495,0.884513,0.914502,0.017125,0.019051,0.016647,0.018937,0.016584,0.012672,0.014098,0.013371,0.013604,0.013657
82,0.42771,0.317374,0.424687,0.336673,0.445972,0.38372,0.313645,0.417488,0.316072,0.415726,0.904364,0.876401,0.914102,0.875335,0.914408,0.017296,0.018696,0.016955,0.018741,0.016958,0.013399,0.013781,0.013799,0.013391,0.014223
83,0.41167,0.318268,0.439333,0.310585,0.446884,0.379257,0.297189,0.421338,0.297363,0.425252,0.899714,0.885145,0.912481,0.885713,0.913005,0.017476,0.018986,0.016755,0.018995,0.016669,0.013388,0.014595,0.013875,0.014151,0.013658
84,0.437612,0.330976,0.461122,0.35306,0.452497,0.399863,0.315933,0.423965,0.309854,0.425169,0.898785,0.879669,0.905152,0.878047,0.905019,0.016906,0.018675,0.01658,0.018796,0.016594,0.013024,0.014241,0.013862,0.013339,0.01379
85,0.428769,0.327001,0.442455,0.321748,0.453537,0.409333,0.296134,0.446848,0.297068,0.440688,0.906642,0.88405,0.91595,0.887878,0.913818,0.016845,0.019214,0.016244,0.019132,0.016406,0.012661,0.014259,0.013246,0.013712,0.013649
86,0.41732,0.324085,0.464176,0.310402,0.461332,0.399358,0.295798,0.430946,0.294546,0.430298,0.900292,0.878597,0.911493,0.881086,0.90981,0.016932,0.019093,0.016622,0.019115,0.01671,0.012942,0.013953,0.013981,0.014035,0.013604
87,0.432039,0.333117,0.457068,0.315068,0.469292,0.39767,0.305579,0.43515,0.308439,0.43337,0.902409,0.892167,0.913678,0.890505,0.913724,0.016848,0.018854,0.016277,0.018886,0.016331,0.012999,0.0138,0.013,0.013888,0.012845
88,0.416854,0.32369,0.453242,0.309465,0.469101,0.403704,0.30367,0.436606,0.305533,0.4388,0.899905,0.892746,0.913505,0.894337,0.914556,0.016992,0.019049,0.016434,0.018943,0.01634,0.013235,0.015433,0.013425,0.01489,0.01343
89,0.423642,0.335209,0.44287,0.321815,0.465541,0.398329,0.300439,0.425074,0.300868,0.428532,0.904885,0.890976,0.917696,0.889356,0.914945,0.01707,0.018839,0.016586,0.018886,0.016611,0.012595,0.0137,0.013694,0.013444,0.013069
90,0.392422,0.328505,0.44251,0.320443,0.431342,0.37391,0.29709,0.409354,0.291222,0.407407,0.897286,0.88298,0.907507,0.881388,0.907915,0.01748,0.018961,0.016903,0.018995,0.016984,0.013471,0.013883,0.01365,0.014196,0.013078
91,0.414844,0.325955,0.453989,0.32568,0.439373,0.39387,0.291658,0.443674,0.294015,0.443011,0.906109,0.890634,0.917761,0.891204,0.918264,0.017172,0.019196,0.016527,0.019221,0.016547,0.013224,0.014723,0.014011,0.0146,0.013878
92,0.432972,0.337858,0.449293,0.325345,0.430363,0.39497,0.306876,0.422773,0.303819,0.425932,0.900582,0.886471,0.909856,0.88437,0.909902,0.016985,0.018766,0.016896,0.018895,0.016802,0.012858,0.01365,0.013974,0.014141,0.01387
93,0.415802,0.340889,0.42669,0.344972,0.428185,0.394712,0.302796,0.428122,0.302945,0.42431,0.903792,0.882255,0.913495,0.883615,0.91172,0.01718,0.018962,0.016607,0.018925,0.016708,0.013169,0.01451,0.013069,0.014462,0.013327
94,0.42547,0.328918,0.443833,0.317968,0.431056,0.390633,0.287683,0.413816,0.284737,0.4186,0.901612,0.884603,0.913262,0.881161,0.913687,0.01732,0.01914,0.016991,0.019114,0.016976,0.013366,0.014387,0.014178,0.013951,0.014177
95,0.425631,0.323788,0.416955,0.322741,0.420834,0.390148,0.291028,0.415178,0.292677,0.408662,0.899643,0.879051,0.912048,0.878194,0.909421,0.016959,0.019104,0.016883,0.019104,0.016972,0.012618,0.014312,0.013782,0.014531,0.013618
96,0.423563,0.319107,0.449841,0.335067,0.438038,0.384133,0.296947,0.422966,0.295962,0.417015,0.899888,0.879101,0.913142,0.879596,0.911586,0.017317,0.019065,0.016745,0.019021,0.016873,0.013406,0.01368,0.014049,0.014094,0.013711
97,0.432467,0.335864,0.44117,0.332378,0.427834,0.384434,0.308962,0.424838,0.305556,0.424995,0.899957,0.891377,0.912667,0.890299,0.913706,0.017245,0.018858,0.016779,0.018867,0.016818,0.013857,0.013547,0.013713,0.014205,0.01341
98,0.416268,0.313395,0.455648,0.325976,0.460111,0.388193,0.310197,0.432281,0.303012,0.431192,0.904087,0.889134,0.914037,0.88872,0.915052,0.017334,0.018779,0.016586,0.018823,0.016735,0.013151,0.014058,0.01337,0.013326,0.013447
99,0.429886,0.326983,0.449814,0.326242,0.430155,0.396373,0.298756,0.420999,0.302027,0.421841,0.903992,0.885126,0.911564,0.887398,0.911959,0.016969,0.019264,0.016637,0.019147,0.016725,0.013094,0.014167,0.013663,0.014178,0.014065
100,0.426122,0.342922,0.464041,0.338534,0.4756,0.395386,0.310905,0.419862,0.309293,0.423022,0.903109,0.888612,0.912842,0.890713,0.912288,0.017076,0.018867,0.016784,0.018775,0.016673,0.013294,0.013669,0.014169,0.013501,0.013947
