_iter,O.f1,F_m.f1,OF_m.f1,F_mw.f1,OF_mw.f1,O.AUPRC,F_m.AUPRC,OF_m.AUPRC,F_mw.AUPRC,OF_mw.AUPRC,O.AUROC,F_m.AUROC,OF_m.AUROC,F_mw.AUROC,OF_mw.AUROC,O.Brier,F_m.Brier,OF_m.Brier,F_mw.Brier,OF_mw.Brier,O.ECE,F_m.ECE,OF_m.ECE,F_mw.ECE,OF_mw.ECE
77,0.040834,0.065206,0.042723,0.065206,0.031591,0.05443,0.069024,0.067522,0.069024,0.066829,0.684212,0.691695,0.704784,0.691695,0.700693,0.021999,0.021896,0.021956,0.021896,0.021953,0.019843,0.019982,0.02044,0.019982,0.020589
78,0.034243,0.032876,0.043897,0.032876,0.041626,0.055571,0.056858,0.064231,0.056858,0.056427,0.678427,0.672551,0.684019,0.672551,0.67604,0.021948,0.022,0.021947,0.022,0.022006,0.019895,0.020252,0.020555,0.020252,0.020409
79,0.042415,0.039074,0.039419,0.039074,0.055243,0.058233,0.051295,0.056218,0.051295,0.060916,0.672482,0.656056,0.664199,0.656056,0.667682,0.021899,0.02202,0.021983,0.02202,0.021963,0.019864,0.020253,0.020451,0.020253,0.020493
80,0.035226,0.02701,0.037517,0.02701,0.031787,0.051092,0.049248,0.057779,0.049248,0.051785,0.687658,0.659408,0.685447,0.659408,0.684775,0.02205,0.022043,0.022026,0.022043,0.022055,0.02003,0.020308,0.020619,0.020308,0.020552
81,0.028769,0.016964,0.020422,0.016964,0.020634,0.049956,0.0471,0.048248,0.0471,0.049687,0.686774,0.6722,0.675034,0.6722,0.661753,0.022037,0.022082,0.02213,0.022082,0.02207,0.020061,0.020456,0.020861,0.020456,0.020736
82,0.056519,0.048559,0.024837,0.048559,0.020833,0.060253,0.05686,0.057832,0.05686,0.056846,0.681186,0.65946,0.667905,0.65946,0.674786,0.021958,0.021936,0.02201,0.021936,0.021987,0.01969,0.019934,0.020592,0.019934,0.020525
83,0.032104,0.033502,0.031386,0.033502,0.028051,0.054153,0.049147,0.059481,0.049147,0.05507,0.690027,0.68028,0.684032,0.68028,0.680711,0.022014,0.022032,0.022033,0.022032,0.022046,0.019852,0.020222,0.020575,0.020222,0.020691
84,0.029277,0.023038,0.023308,0.023038,0.028687,0.060392,0.053251,0.053212,0.053251,0.058766,0.688632,0.665516,0.672973,0.665516,0.680175,0.02192,0.022016,0.022041,0.022016,0.022041,0.019713,0.020024,0.020702,0.020024,0.02069
85,0.037879,0.023912,0.025566,0.023912,0.024878,0.058962,0.049018,0.054318,0.049018,0.054392,0.675176,0.666582,0.671601,0.666582,0.673735,0.021919,0.02204,0.022009,0.02204,0.021998,0.019755,0.020125,0.020514,0.020125,0.020608
86,0.030455,0.019354,0.007768,0.019354,0.023548,0.058339,0.052036,0.052874,0.052036,0.057233,0.675184,0.651317,0.663674,0.651317,0.663606,0.021966,0.022025,0.022055,0.022025,0.021987,0.019929,0.020175,0.020683,0.020175,0.02062
87,0.050685,0.028459,0.041038,0.028459,0.028342,0.058908,0.052125,0.056352,0.052125,0.054824,0.691258,0.682004,0.692553,0.682004,0.686897,0.021968,0.022006,0.022001,0.022006,0.022036,0.019915,0.020135,0.020548,0.020135,0.020721
88,0.046925,0.027839,0.02651,0.027839,0.01141,0.062573,0.053774,0.051646,0.053774,0.049698,0.675471,0.674955,0.678941,0.674955,0.681986,0.021938,0.022037,0.022058,0.022037,0.022083,0.019915,0.020283,0.020685,0.020283,0.020744
89,0.046961,0.021386,0.028729,0.021386,0.034663,0.060441,0.044392,0.055077,0.044392,0.055322,0.695644,0.667025,0.677378,0.667025,0.678757,0.021927,0.022074,0.022025,0.022074,0.022011,0.019926,0.020209,0.020619,0.020209,0.020569
90,0.054353,0.037508,0.040929,0.037508,0.031927,0.0584,0.055969,0.060136,0.055969,0.056184,0.671787,0.668822,0.675319,0.668822,0.671935,0.021931,0.021969,0.021952,0.021969,0.022011,0.019842,0.020031,0.020472,0.020031,0.020546
91,0.04128,0.027441,0.035358,0.027441,0.047425,0.055539,0.056701,0.059223,0.056701,0.061474,0.680402,0.676355,0.684721,0.676355,0.684093,0.021989,0.021953,0.021999,0.021953,0.021943,0.019851,0.020218,0.02045,0.020218,0.02039
92,0.047116,0.01483,0.027263,0.01483,0.032467,0.056857,0.046805,0.050882,0.046805,0.054178,0.666537,0.666722,0.664217,0.666722,0.669131,0.02197,0.022161,0.022028,0.022161,0.022011,0.019872,0.020462,0.020479,0.020462,0.020566
93,0.054516,0.01153,0.024191,0.01153,0.023684,0.060394,0.042928,0.052086,0.042928,0.051703,0.678882,0.653899,0.667267,0.653899,0.668864,0.021933,0.022053,0.02202,0.022053,0.022043,0.019836,0.020173,0.020562,0.020173,0.020652
94,0.045665,0.037365,0.019671,0.037365,0.027755,0.058556,0.054425,0.059943,0.054425,0.057932,0.683086,0.684509,0.686055,0.684509,0.683929,0.021973,0.021983,0.021963,0.021983,0.021964,0.019785,0.020032,0.020352,0.020032,0.020442
95,0.031179,0.034014,0.020952,0.034014,0.027654,0.049425,0.052072,0.052653,0.052072,0.059641,0.681859,0.669156,0.682405,0.669156,0.688598,0.022005,0.022006,0.022073,0.022006,0.022004,0.019484,0.020149,0.020677,0.020149,0.020627
96,0.041161,0.025787,0.03162,0.025787,0.042029,0.055569,0.052525,0.053047,0.052525,0.056316,0.672582,0.680994,0.677528,0.680994,0.6759,0.021984,0.022031,0.022043,0.022031,0.021981,0.020075,0.020044,0.020592,0.020044,0.020543
97,0.046709,0.04355,0.035198,0.04355,0.042122,0.060276,0.051838,0.061462,0.051838,0.05736,0.6868,0.666952,0.6788,0.666952,0.671178,0.021929,0.021999,0.021944,0.021999,0.021976,0.019725,0.01996,0.020201,0.01996,0.020381
98,0.042355,0.030083,0.050189,0.030083,0.038991,0.063478,0.052459,0.062795,0.052459,0.061913,0.697892,0.674129,0.681075,0.674129,0.679767,0.021884,0.022002,0.021989,0.022002,0.021966,0.019741,0.020173,0.020608,0.020173,0.020549
99,0.02925,0.034532,0.011294,0.034532,0.011582,0.055608,0.0489,0.054828,0.0489,0.050961,0.686342,0.67522,0.690522,0.67522,0.688469,0.021971,0.022065,0.022051,0.022065,0.022065,0.019814,0.02037,0.02066,0.02037,0.020628
100,0.035414,0.02303,0.027689,0.02303,0.024807,0.05318,0.05238,0.053759,0.05238,0.056562,0.695528,0.670605,0.679671,0.670605,0.677884,0.022083,0.022027,0.022036,0.022027,0.022022,0.020223,0.020218,0.020596,0.020218,0.020558
