Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
55,0.13850388185737256,0.32601010563060157,0.0033984706881903144,0.096,0.934,0.121,0.0,0.123,0.040288241074353096,0.2957694439312766,0.02,0.7780100863873501,0.0075424969041990335,0
56,0.1639751797886928,0.3252115710805922,-0.11696403285188331,0.094,0.943,0.1009999999999999,-0.011,0.172,0.05633802816901408,0.2723074080916313,0.038,-0.022032623081488175,0.008217944388157154,0
62,0.7872031883514684,0.31237864592484155,-0.18861512319456242,0.105,0.978,0.264,-0.004,0.936,0.2915165411071078,0.24256419730278964,0.115,-0.1655736850077349,0.027637059551953173,0
85,0.18584577138967534,0.3226190465024849,0.04134806003964882,0.073,0.943,0.203,0.018,0.345,0.1130036030134294,0.5176427119896546,-0.022,0.03336304786688551,0.00748620961386919,0
86,0.2058518876579625,0.3209945278501132,0.04191447182101388,0.092,0.946,0.23,0.02,0.3429999999999999,0.12151981657386178,0.658784407906891,-0.006,0.029722810581022593,0.009005966452774964,0
87,0.1840898104943326,0.32222345079937464,0.03936561880487114,0.085,0.947,0.221,0.019,0.367,0.12020962987225679,0.5093293922039536,-0.027,0.029449668629150202,0.008668242710795903,0
88,0.1735737750199765,0.3217205317156218,0.025488530161427356,0.076,0.946,0.211,0.0139999999999999,0.33,0.10809040288241076,0.48568261592462597,0.039,0.03876380918799864,0.008274231678486997,0
89,0.18161370833292229,0.32090981097038074,0.025771736052109882,0.076,0.948,0.248,0.0139999999999999,0.268,0.08778250900753358,0.650655828560872,-0.125,0.04603186821645755,0.009118541033434652,0
90,0.17019996251319436,0.3226169688580147,0.03964882469555367,0.084,0.945,0.242,0.02,0.228,0.07468064199148379,0.6308886015148717,-0.01,0.030485124937611893,0.009343690194754025,0
91,0.16714182836961988,0.32238657745803934,0.037949589351458514,0.095,0.944,0.242,0.02,0.165,0.05404520144120538,0.669314612968779,0.006,0.03130455079322906,0.01007542496904199,0
92,0.16511951385532064,0.32235731067906276,0.03709997167941093,0.108,0.944,0.248,0.018,0.0969999999999999,0.031772027513920706,0.7328653242194717,0.053,0.03380752431584149,0.011595181807947766,0
93,0.15756296303603665,0.3245206166878293,0.02832058906825262,0.12,0.941,0.214,0.0139999999999999,0.032,0.01048149361283983,0.6495473859227786,0.033,0.03745521092766456,0.013283800517843072,0
94,0.15653700835561168,0.3236420084587044,0.027187765505522515,0.121,0.941,0.203,0.015,0.01,0.003275466754012447,0.6251616478847221,0.054,0.03383235540237534,0.012946076775864011,0
95,0.15668498258836527,0.32435803866879165,0.033701500991220615,0.1009999999999999,0.941,0.201,0.018,0.016,0.005240746806419915,0.616109366340292,0.076,0.02929323278398693,0.01108859619497917,0
96,0.15341968451893576,0.3235037706048644,0.03709997167941093,0.11,0.94,0.1689999999999999,0.02,0.026,0.008516213560432362,0.5047108812118973,-0.005,0.02137956550564783,0.011144883485309018,0
97,0.14237094180666673,0.3245660380245236,0.03625035400736335,0.103,0.935,0.146,0.019,0.03,0.00982640026203734,0.40458156290411973,-0.03,0.01912490284837394,0.00951255206574355,0
98,0.14843788534956448,0.3246223654651584,0.051543472104219765,0.099,0.938,0.206,0.023,0.195,0.06387160170324271,0.49085534823572885,0.025,0.023117741563017574,0.009118541033434652,0
108,0.2447888407698606,0.3185317507498421,-0.02520532427074483,0.161,0.961,0.26,-0.006,0.718,0.23517851293809366,0.35008313319785705,-0.019,-0.09915549474698365,0.02808735787459192,0
109,0.372648442817824,0.31306933364042927,-0.10337015009912205,0.085,0.974,0.22,-0.0139999999999999,0.695,0.22764493940386504,0.47940144097542964,0.0279999999999999,-0.03694617365372056,0.016492176066644153,0
110,0.24113880969527177,0.31747225397540746,0.0421976777116964,0.156,0.961,0.22,0.02,0.6859999999999999,0.22469701932525382,0.32421947164234255,0.15,0.026941728889231006,0.03078914781042441,0
111,0.14954275962079136,0.32406039424082594,0.0356839422259983,0.073,0.912,0.156,0.01,0.6940000000000001,0.4582377988863413,0.3122113430629965,-0.05,0.03802135970063642,0.012214342001576044,0
112,0.14718503684558396,0.32678786378596925,0.038232795242141036,0.063,0.952,0.241,0.015,0.616,0.2387815263675074,0.3164603731756882,0.024,0.03459218665031125,0.007767646065518407,0
113,0.1467805739427241,0.32474409659641573,0.030019824412347774,0.064,0.937,0.251,0.015,0.654,0.21421552571241403,0.25457232588213563,-0.1,0.042215330216204265,0.006585612968591687,0
114,0.10058301847704919,0.332982140625768,0.03964882469555367,0.069,0.911,0.078,0.046,0.089,0.029151654110710776,0.14649916866802143,0.07,0.004203902950181391,0.008217944388157154,0
115,0.10332547425741598,0.33409158666040867,0.04248088360237893,0.068,0.913,0.076,0.027,0.079,0.02587618735669833,0.14927027526325512,-0.017,0.007402146895741718,0.0075424969041990335,0
116,0.11759019029486333,0.3316419995893532,0.039932030586236185,0.074,0.923,0.1169999999999999,0.023,0.069,0.022600720602685885,0.26029927951228526,-0.069,0.013426168488854567,0.0070359112912304405,0
